gdp pc test,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,472.0534996,473.5880776,475.1276443,476.6722159,478.2218087,479.7764389,481.3361231,482.9008776,484.4707188,486.0456634,487.6257279,489.210929,490.8012833,492.3968077,493.9975188,495.6034337,497.2145691,498.8309421,500.4525697,502.079469,503.7116571,505.3491512,506.9919686,508.6401265,510.2936424,511.9525336,513.6168176,515.286512,516.9616343,518.6422021,520.3282333,522.0197455,523.7167566,525.4192844,527.1273469,528.840962,530.5601479,532.2849226,534.0153043,535.7513112,537.4929616,539.2402738,540.9932664,542.7519576,544.5163661,546.2865105,548.0624093,549.8440813,551.6315453,553.4248201,555.2239246,557.0288776,558.8396984,560.6564058,562.4790191,564.3075574,566.1420401,567.9824864,569.8289157,571.6813475,573.5398013,575.4042967,577.2748532,579.1514907,581.0342289,582.9230875,584.8180866,586.719246,588.6265859,590.5401262,592.4598872,594.385889,596.318152,598.2566965,600.2015429,602.1527118,604.1102236,606.074099,608.0443587,610.0210234,612.0041139,613.9936512,615.9896562,617.99215,620.0011535,622.016688,624.0387748,626.067435,628.1026902,630.1445616,632.1930709,634.2482396,636.3100894,638.3786419,641.3332615,644.3015561,647.2835888,650.2794234,653.2891236,656.3127536,659.350378,662.4020615,665.4678692,668.5478664,671.6421188,674.7506923,677.8736534,681.0110685,684.1630046,687.3295288,690.5107087,693.7066121,696.9173072,700.1428624,703.3833465,706.6388286,709.9093781,713.1950647,716.4959585,719.81213,723.1436497,726.4905888,729.8530185,733.2310107,736.6246373,740.0339706,743.4590835,746.9000488,750.3569401,753.8298309,757.3187954,766.7521974,779.4453145,812.8562795,815.3595213,816.414838,837.0669354,820.8530296,849.7400695,856.2288434,868.4982226,857.3586549,853.10071,849.4447177,846.2672818,845.2206617,833.6140562,836.1971382,845.0799786,837.6207743,833.3159234,773.6951378,739.9811058,803.4865369,825.5800312,846.4424025,866.1924806,786.11336,827.0921548,809.0741143,810.4316249,896.8607464,978.0114388,1013.132736,994.571244,961.9241848,1030.888067,852.3959448,770.010794,751.441274,709.5049419,705.4457987,649.3413952,558.8532414,500.4494473,601.8742099,617.910636,635.341351,653.2968533,670.9872209,663.9098777,595.038741,726.7340548,785.1275711,804.7174577,874,887.9145777,983.6523137,984.8058414,1154.859365,1214.613653,1261.354184,1349.696941
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,601.2152224,601.839631,602.4646882,603.0903945,603.7167506,604.3437573,604.9714152,605.5997249,606.2286872,606.8583027,607.4885721,608.1194961,608.7510754,609.3833106,610.0162024,610.6497516,611.2839587,611.9188245,612.5543497,613.1905349,613.8273808,615.1338037,616.4430071,617.7549969,619.069779,620.3873594,621.707744,623.0309389,624.3569499,625.6857831,627.0174445,628.3519401,629.6892759,631.0294581,632.3724925,633.7183854,635.0671428,636.4187707,637.7732754,639.1306629,640.4909393,641.8541108,643.2201837,644.5891639,645.9610578,647.3358715,648.7136113,650.0942834,651.4778939,652.8644493,654.2539556,655.6464193,657.0418466,658.4402439,659.8416173,661.2459734,662.6533183,664.0636586,665.4770005,666.8933504,668.3127148,669.7351001,671.1605127,672.588959,674.0204455,675.4549786,676.892565,678.3332109,679.776923,681.2237078,682.6735719,692.7379778,702.9507596,713.3141047,723.8302328,734.5013963,745.3298808,756.3180057,767.4681245,778.7826255,790.2639319,801.9145031,813.7368343,825.7334578,837.9069432,850.2598977,862.7949674,875.514837,888.4222309,901.5199139,914.8106911,927.3527789,940.0668191,952.9551693,966.0202193,979.2643915,992.6901419,1006.29996,1020.096369,1034.081927,1048.259228,1062.005904,1075.932852,1090.042435,1104.337049,1118.819119,1133.491105,1148.355497,1163.414817,1178.671622,1194.128503,1209.423579,1224.914564,1240.603966,1250.984276,1261.45144,1272.006184,1282.649241,1293.38135,1304.203256,1315.11571,1326.119471,1337.215301,1348.403972,1359.686261,1371.062949,1382.534828,1394.102694,1405.76735,1417.529606,1422.797014,1428.083996,1433.390624,1438.716971,1444.06311,1449.429114,1454.815059,1460.221017,1465.647063,1471.093271,1476.559718,1482.046477,1487.553624,1493.081236,1498.629387,1504.198155,1509.787616,1515.397847,1521.028925,1526.680927,1532.353932,1598.49275,1601.056136,1665.794737,1714.688776,1807.130587,1825.302487,1942.284244,2029.789585,2113.346606,2220.342696,2238.787437,2312.888958,2391.779616,2473.6971,2563.945574,2660.074837,2760.196931,2859.812013,2956.93736,3066.022933,3188.577281,3313.422188,3478.459169,3491.426597,3503.591742,3517.615627,3533.00391,3549.264947,3566.56881,3591.755603,3611.02554,3630.880722,3652.076174,3672.867539,3692.089631,3715.549706,3738.932735,3762.606544,3790.981701,3824.847995,2717.56829,2497.437901,2716.646193,2918.816698,3285.534735,3569.594506,3193.054604,3584.773197,3928.275138,4195.210368,4476.045166,4604.211737,4855.210024,5115.252837,5369,5652.049321,5958.021197,6365.530359,6550.896164,6746.445312,6914.267317,6969.306283
Algeria,766.2536644,766.2347795,766.215895,766.197011,766.1781275,766.1592444,766.1403618,766.1214797,766.102598,766.0837168,766.0648361,766.0459558,766.027076,766.0081967,765.9893178,765.9704394,765.9515615,765.932684,765.913807,765.8949304,765.8760544,773.6958648,781.5955176,789.5758282,797.63762,805.7817249,814.0089835,822.3202447,830.7163662,839.1982145,847.7666648,856.4226014,865.1669176,874.0005157,882.9243073,891.9392134,901.0461642,910.2460995,919.5399688,928.9287311,938.4133553,947.9948202,957.6741145,967.4522372,977.3301973,987.3090141,997.3897174,1007.573348,1017.860956,1028.253603,1038.752362,1049.358316,1060.072561,1070.8962,1081.830352,1092.876145,1104.034719,1115.307224,1126.694826,1138.198697,1149.820027,1161.560013,1173.419869,1185.400816,1197.504093,1209.730947,1222.082641,1234.560449,1247.16566,1259.899573,1272.763502,1287.252066,1301.905561,1316.725864,1331.714876,1346.874515,1362.206725,1377.71347,1393.396736,1409.258534,1425.300895,1441.525876,1457.935554,1474.532032,1491.317438,1508.29392,1525.463656,1542.828843,1560.391709,1578.154502,1596.119498,1614.289,1632.665335,1651.250859,1670.047951,1689.059021,1708.286504,1727.732865,1747.400594,1767.292211,1787.410266,1807.757335,1828.336026,1849.148976,1870.198851,1891.488348,1913.020196,1934.797152,1956.822007,1979.097583,2001.626734,2024.412347,2047.45734,2070.764668,2079.719025,2088.712101,2097.744066,2106.815086,2115.925331,2125.07497,2134.264174,2143.493113,2152.761961,2162.070888,2171.420069,2180.809677,2190.239888,2199.710877,2209.222819,2218.775894,2228.370277,2238.006148,2247.683687,2257.403073,2267.164487,2276.968111,2286.814128,2296.702721,2306.634074,2316.608372,2326.6258,2336.686546,2346.790796,2356.938739,2367.130563,2377.366459,2387.646616,2397.971227,2408.340483,2418.754577,2429.213704,2397.531111,2449.008185,2436.33995,2557.818507,2572.474443,2764.423629,3013.976023,3059.576865,3548.416022,3716.788679,3202.96262,2550.81688,3146.57863,3214.436609,3327.99122,3070.753392,3246.991771,3519.794116,3747.744528,4003.57359,3559.349909,4182.663766,4194.603349,4320.959308,4489.034986,4642.623411,4910.416756,5373.166288,5682.033708,5610.196305,5573.379591,5745.160213,5853.656218,5986.542038,6107.181013,5876.048095,5681.358539,5415.986264,5457.745569,5244.509612,5061.303464,5023.216647,4800.317117,4652.841153,4732.433,4824.212475,4797.295051,4965.228361,5048.615566,5098.853564,5156.447405,5288.040382,5576.851564,5790.967692,6011,6022.27094,6133.782763,6162.71984,6173.729741,6300.648214,6354.640523,6419.127829
American Samoa,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,674.4537263,676.6439759,678.8413382,681.0458364,683.2574935,685.4763328,687.7023777,689.9356515,692.1761778,694.42398,696.6790819,698.941507,701.2112793,703.4884225,705.7729606,708.0649176,710.3643176,712.6711848,714.9855434,717.3074177,719.6368322,721.9738113,724.3183797,726.6705619,729.0303826,731.3978668,733.7730392,736.1559248,738.5465488,740.9449361,743.3511121,745.765102,748.1869312,750.6166251,753.0542093,755.4997095,757.9531512,760.4145604,762.8839629,765.3613846,767.8468515,770.3403899,772.8420259,775.3517859,777.8696961,780.3957831,782.9300734,785.4725937,788.0233707,790.5824312,793.149802,795.7255103,798.309583,800.9020474,803.5029306,806.1122601,808.7300632,811.3563674,813.9912005,816.63459,819.2865638,821.9471496,824.6163756,827.2942698,829.9808602,832.6761752,835.3802431,838.0930923,840.8147513,843.5452488,846.2846133,849.0328738,851.7900592,854.5561983,857.3313203,860.1154543,862.9086297,865.7108757,868.5222219,871.3426978,874.1723329,877.0111572,879.8592004,882.7164924,885.5830634,888.4589433,891.3441625,894.2387513,897.1427401,900.0561594,902.9790399,905.9114123,908.8533074,911.8047562,951.806595,993.5633568,1037.152032,1082.652988,1130.15012,1179.731001,1231.487047,1285.513686,1341.910531,1400.781565,1462.235334,1526.385144,1593.349274,1663.251192,1736.219781,1812.389578,1891.901026,1974.900724,2061.541707,2151.983722,2246.393524,2344.945183,2447.820408,2555.208878,2667.308593,2784.326242,2906.477578,3033.987823,3167.092077,3306.035756,3451.07504,3602.477352,3760.521843,3925.499913,4097.715745,4277.486868,4465.14474,4531.987696,4599.831287,4668.690492,4738.580516,4809.516789,4881.514974,4954.590968,5028.760905,5104.041161,5180.448359,5257.999368,5336.711311,5416.601567,5497.687776,5579.98784,5663.519932,5748.302494,5834.354247,5921.694188,6010.341604,6100.316066,6191.637441,6284.325892,6296.660809,6309.019937,6321.403324,6333.811017,6346.243063,6358.699512,6371.18041,6383.685806,6396.215747,6408.770283,6421.34946,6433.953328,6446.581935,6459.235329,6471.91356,6484.616675,6497.344724,6604.364154,6713.146327,6823.72028,6936.115525,7050.36206,7166.49038,7284.531479,7404.516863,7526.478557,7650.449113,7776.46162,8200.790273,8648.272748,9120.17245,9617.821726,11295.55877,13265.961,,,,,
Andorra,1260.123256,1262.214402,1264.309018,1266.407109,1268.508683,1270.613744,1272.722298,1274.834351,1276.94991,1279.068979,1281.191564,1283.317672,1285.447308,1287.580478,1289.717189,1291.857445,1294.001252,1296.148618,1298.299546,1300.454045,1302.612118,1317.903699,1333.37479,1349.027499,1364.863957,1380.886323,1397.096777,1413.497529,1430.090812,1446.878887,1463.864039,1481.048583,1498.434859,1516.025235,1533.822108,1551.827901,1570.045068,1588.476088,1607.123474,1625.989764,1645.077529,1664.389368,1683.927912,1703.695822,1723.695792,1743.930544,1764.402835,1785.115454,1806.071221,1827.272992,1848.723655,1870.42613,1892.383374,1914.598377,1937.074167,1959.813803,1982.820384,2006.097043,2029.64695,2053.473314,2077.579379,2101.96843,2126.643787,2151.608813,2176.866907,2202.421511,2228.276104,2254.434208,2280.899387,2307.675245,2334.765429,2362.173629,2389.903579,2417.959056,2446.34388,2475.061918,2504.117082,2533.51333,2563.254665,2593.345139,2623.788849,2654.589944,2685.752618,2717.281115,2749.179731,2781.45281,2814.104748,2847.139992,2880.563043,2914.378452,2948.590827,2983.204826,3018.225164,3053.656612,3089.503996,3125.772198,3162.466159,3199.590876,3237.151406,3275.152866,3313.600431,3352.499339,3391.854887,3431.672437,3471.957411,3512.715298,3553.951648,3595.672078,3637.882272,3680.587978,3723.795014,3767.509264,3811.736683,3856.483295,4003.179747,4155.456374,4313.525439,4477.60728,4647.930616,4824.732869,5008.260487,5198.769298,5396.524858,5601.802825,5814.889344,6036.081444,6265.687452,6504.027424,6751.43359,7008.25082,7274.837099,7551.564032,7838.817358,8136.99749,8446.520072,8767.816557,9101.334813,9447.539743,9806.913934,10179.95833,10567.19293,10969.15752,11386.4124,11819.53921,12269.1417,12735.84657,13220.3044,13723.19048,14245.2058,14787.07801,15349.56246,15933.44321,16539.53415,17168.68014,17821.75816,18499.67856,19203.38632,19933.86236,20692.12492,21479.23096,22296.27767,23144.40395,24024.79204,24938.66914,25887.30913,26872.03436,27894.21748,28955.28333,30056.71098,31200.03575,32386.85136,32191.43469,33080.00823,33951.78928,34247.09088,33016.17231,32840.79417,32632.63518,32006.04314,30833.01441,30183.8586,28684.57514,27523.35722,26568.20208,25820.29864,25465.80492,25621.53728,26576.0008,27517.71361,28281.89339,28511.18326,28091.12248,27041.01712,25514.03852,25092.4327,25063.76906,25839.06506,28057.47136,28982.13822,30144.97166,30265.94105,33293.00053,34485.48352,35925.27828,37427.60632,39002.40983,39924.83718,39244.40609,37046.5027,34710.21401,33052.28232,31630.74284,
Angola,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,359.9325819,361.6203396,363.3160114,365.0196344,366.7312459,368.4508832,370.1785841,371.9143863,373.6583279,375.410447,377.1707819,378.9393712,380.7162536,382.501468,384.2950534,386.0970491,387.9074945,389.7264293,391.5538932,393.3899263,395.2345687,397.0878608,398.9498431,400.8205565,402.7000419,404.5883403,406.4854931,408.3915418,410.3065282,412.2304942,414.1634818,416.1055334,418.0566914,420.0169986,421.9864978,423.9652322,425.9532451,427.95058,429.9572806,431.9733908,433.9989547,436.0340166,438.0786212,440.1328131,442.1966373,444.270139,446.3533635,448.4463564,450.5491636,452.6618311,454.784405,456.9169319,459.0594584,461.2120314,463.3746981,465.5475057,467.7305018,469.9237341,472.1272508,474.3410999,476.56533,478.7999897,481.0451279,483.3007938,485.5670368,487.8439063,490.1314523,492.4297249,494.7387742,497.0586509,499.3894057,501.7310897,504.083754,506.4474502,508.82223,511.2081453,513.6052484,516.0135918,518.4332281,520.8642103,523.3065917,525.7604256,528.2257657,530.702666,533.1911808,535.6913645,538.2032717,540.7269575,543.2624772,545.8098861,548.36924,550.940595,553.5240073,556.1195335,583.8367579,612.9354201,643.4843714,675.555895,709.2258764,744.5739833,781.6838544,820.6432965,861.5444932,904.4842222,949.5640847,996.890746,1046.576187,1098.737972,1153.49952,1210.990407,1271.346663,1334.711099,1401.233645,1471.071701,1544.390515,1621.363568,1702.172989,1787.009986,1876.075292,1969.57965,2067.744303,2170.801523,2278.995156,2392.581204,2511.828427,2637.018981,2768.449082,2906.429714,3051.287356,3203.364763,3363.021769,3440.90139,3520.610273,3598.805544,3450.820228,3672.081573,3549.035343,3827.940465,3966.415044,3917.761174,4006.206302,4463.825923,4269.276742,4413.596399,4826.488113,5102.210214,5308.136181,5522.776375,5346.627499,5408.119396,5651.882867,5526.211396,5473.288005,5722.023726,5470.212038,3430.848722,3050.315826,3008.647355,3070.81649,3064.88794,3074.745543,2953.406726,2756.953672,2584.557046,2527.467914,2492.832132,2220.605332,2430.208311,2728.529902,2730.558884,2777.417631,2730.854238,2627.845685,1869.923753,1851.44627,1989.024681,2157.352097,2277.140884,2384.479259,2417.181021,2446.645873,2479.690229,2773.287312,2785.393957,3007.114595,3533,4148.00245,4950.178553,5488.457748,5475.945894,5497.618103,5546.646572,5838.155376
Anguilla,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,775.6687106,780.7941944,785.9535465,791.1469907,796.3747522,801.6370579,806.934136,812.2662163,817.63353,823.03631,828.4747907,833.9492078,839.459799,845.0068032,850.590461,856.2110147,861.868708,867.5637864,873.2964968,879.067088,884.8758103,890.7229156,896.6086575,902.5332914,908.4970742,914.5002647,920.5431233,926.6259119,932.7488946,938.9123369,945.1165062,951.3616715,957.6481038,963.9760757,970.3458618,976.7577383,983.2119833,989.7088769,996.2487009,1002.831739,1009.458276,1016.128601,1022.843002,1029.60177,1036.405199,1043.253585,1050.147223,1057.086413,1064.071456,1071.102654,1078.180314,1085.304742,1092.476247,1099.69514,1106.961734,1114.276344,1121.639288,1129.050885,1136.511457,1144.021327,1151.580821,1159.190266,1166.849994,1174.560335,1182.321625,1190.134201,1197.9984,1205.914565,1213.883039,1221.904166,1229.978296,1238.105779,1246.286966,1254.522214,1262.811878,1271.156319,1279.555899,1288.010981,1296.521933,1305.089125,1313.712926,1322.393713,1331.13186,1339.927748,1348.781757,1357.694272,1366.665679,1375.696368,1384.78673,1393.93716,1403.148054,1412.419812,1421.752836,1431.147531,1466.222758,1502.157626,1538.973201,1576.69107,1615.333345,1654.922684,1695.482296,1737.035962,1779.608045,1823.223504,1867.907911,1913.687464,1960.589003,2008.640027,2057.868708,2108.303908,2159.975198,2212.912871,2267.147966,2322.712279,2379.638389,2437.959669,2497.710315,2558.925357,2621.640686,2685.893072,2751.720184,2819.160618,2888.253913,2959.040579,3031.562118,3105.861047,3181.98093,3259.966393,3339.863161,3421.718076,3505.579128,3591.495487,3679.517523,3769.696844,3862.086322,3956.740124,4053.713745,4153.064041,4254.84926,4359.129078,4465.964634,4575.418566,4687.555045,4802.439817,4920.140239,5040.725316,5164.265749,5290.833968,5420.50418,5553.352409,5689.456544,5475.317858,6031.553821,6214.206074,6148.684702,6318.478078,6393.506925,6391.276424,6858.385165,7507.028692,7866.618683,8151.641951,8050.178974,8015.966179,8263.64712,8975.705788,9911.093649,10604.34808,11605.74418,12220.76911,12335.01446,11709.28709,12197.8265,12770.83476,13477.41589,12888.09377,12957.80654,14096.12827,15298.76883,15611.94614,15551.72564,15678.67207,15179.26005,15300.11154,18278.82118,19478.90097,22716.0548,25037.54699,24145.37382,19309.7469,18220.47825,18600.58367,
Antigua and Barbuda,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,538.376199,541.9336952,545.5146987,549.1193649,552.74785,556.4003116,560.0769079,563.7777986,567.5031442,571.2531061,575.0278472,578.8275311,582.6523226,586.5023877,590.3778934,594.2790077,598.2058999,602.1587404,606.1377005,610.1429529,614.1746713,618.2330306,622.3182068,626.4303771,630.56972,634.7364149,638.9306426,643.1525851,647.4024254,651.6803479,655.9865382,660.321183,664.6844704,669.0765897,673.4977313,677.948087,682.4278499,686.9372143,691.4763758,696.0455313,700.644879,705.2746184,709.9349503,714.6260768,719.3482015,724.1015292,728.886266,733.7026195,738.5507987,743.4310138,748.3434765,753.2883999,758.2659985,763.2764882,768.3200863,773.3970117,778.5074845,783.6517264,788.8299605,794.0424116,799.2893056,804.5708701,809.8873344,815.2389289,820.6258858,826.0484387,831.506823,837.0012753,842.532034,848.099339,853.7034317,859.3445554,865.0229546,870.7388757,876.4925665,882.2842768,888.1142577,893.9827621,899.8900445,905.8363612,911.8219702,917.847131,923.9121051,930.0171554,936.1625468,942.3485459,948.575421,954.8434423,961.1528815,967.5040124,973.8971104,980.332453,986.8103191,993.3309899,1017.676006,1042.617682,1068.170639,1094.34986,1121.170694,1148.648865,1176.800484,1205.642056,1235.19049,1265.463111,1296.477668,1328.252344,1360.805768,1394.157026,1428.325673,1463.331741,1499.195754,1535.938738,1573.582237,1612.14832,1651.659598,1692.139237,1733.61097,1776.099111,1819.628572,1864.224872,1909.91416,1956.723221,2004.679501,2053.811116,2104.146871,2155.716277,2208.549571,2262.677728,2318.132483,2374.946348,2433.152634,2492.785467,2553.879809,2616.471479,2680.597175,2746.294493,2813.601952,2882.559013,2953.206105,3025.58465,3099.737081,3175.706874,3253.538571,3333.277802,3414.97132,3498.66702,3584.413973,3672.262452,3762.263963,3854.471272,3948.938441,4138.469595,4333.744533,4597.830045,4676.114805,4382.066446,3991.804988,4319.593971,4535.035996,5105.690392,5532.031435,5882.22466,5973.220567,6453.088079,7024.111407,7693.923848,8513.743698,9474.137689,10425.2269,11211.43886,11573.56144,11751.60226,11677.35361,12036.98141,12477.54869,11650.35609,12104.52051,12387.28072,12613.15993,12826.30985,12738.74463,12770.73925,12874.34259,13346.28164,14114.0915,14579,16223.38912,17161.68626,17226.5807,15219.49998,13921.51622,13508.80261,13722.98616
